objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
01pna,178612230pittsburghgazette.pdf,,,The Pittsburgh Gazette,The Pittsburgh Gazette,1786-12-30,The first newspaper west of the Alleghenies was published in December 1786 as the Pittsburgh Gazette.,newspapers; journalism; pittsburgh,"Pittsburgh, PA",40.441596,-80.01063,,001PNA2024,Image;StillImage,application/pdf,en,,
02pna,usaircrash.png,,,"""USAir crash site: Nothing but death""",The Beaver County Times,1994-09-09,"The front page on September 9, 1994 of the Beaver County Times covering the crash of a commerical airliner in the county the day before.",newspapers; journalism; pittsburgh,"Pittsburgh, PA; Hopewell Twp, PA",40.598382,-80.316652,,015PNA2024,Image;StillImage,image/png,en,,
03pna,,1iqhi2-WRbc,,KDKA 1983,CBS Pittsburgh,1983-09-06,"A digitized broadcast of KDKA TV (including commercials and TV station promotions) on September 6, 1983 that is hosted on an individual's YouTube page",journalism; broadcast news,"Pittsburgh, PA",40.443337,-80.005682,,008PNA2024,Image;MovingImage,video/mp4,en,,
04pna,,zuNDybFwa00,,Times reporters remember Flight 427,The Beaver County Times,2018-09-06,"Video of Mike Bires and Sly Washington, staff for the Beaver County Times, remember the day Flight 427 crashed in Aliquippa.",journalism; oral histories; journalists,"Pittsburgh, PA; Hopewell Twp, PA",40.441596,-80.01063,,016PNA2024,Image;MovingImage,video/mp4,en,,
05pna,,pJNYtASW3Lk,,A Beacon for Change: The Pittsburgh Courier Story,WQED; PBS,2022-02-28,A mini documentary from WQED about The Pittsburgh Courier that started in 1907 and  became a leader in African American newspapers,newspapers; journalism; pittsburgh,"Pittsburgh, PA",40.429352,-79.997316,,024PNA2024,Image;MovingImage,video/mp4,en,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,https://www.pbs.org/video/wqed-mini-docs-broadcast-pioneers-gja6xw/,,,,,,,,,,,,
